ProtocolName	ShortName	RepetitionTime	RepetitionTime_alt	EchoTime	EchoTime_alt	FlipAngle	FlipAngle_alt	ImageOrientation	AcquisitionMatrixPE	AcquisitionMatrixPE_alt	ReconMatrixPE	ReconMatrixPE_alt	PixelBandwidth	PixelBandwidth_alt	PhaseEncodingSteps	PhaseEncodingSteps_alt	PercentSampling	PercentSampling_alt	MultibandAccelerationFactor	MultibandAccelerationFactor_alt	InversionTime	InversionTime_alt	group	MagneticFieldStrength
T1 MPR SAG 0.9 MM	MPRAGE	2.05		0.002		9.0		PSR+	256.0		256.0		180.0		319.0		100.0		192.0	176.0	1.05		T1w	3.0T
T1_MPRAGE_SAG_P2_ISO_0.9	MPRAGE	1.9		0.003		9.0		PSR+	256.0		256.0		180.0		255.0		100.0		192.0		0.9		T1w	3.0T
T1_TSE_TRA_FS_4MM	TSE	0.701		0.01		150.0		LAS+	208.0	232.0	208.0	232.0	255.0		208.0	232.0	100.0						T1w	3.0T
T1_TSE_RS_TRA	TSE	0.702		0.01		120.0		LAS+	205.0		256.0		285.0	283.0	206.0		80.0						T1w	3.0T
T1_MPRAGE_SAG_P2_RECON TRANS AND COR OBIQ	MPRAGE	1.9		0.003		9.0		PSR+	256.0		256.0		180.0		255.0		100.0		192.0	176.0	0.9		T1w	3.0T
T1 AXIAL FS POST	AXFS	0.7		0.009		90.0		LAS+	192.0		256.0		220.0		191.0		75.0						T1w	3.0T
T1_FLD2D_SAG_P2_256	FL2D	0.24		0.00246		80.0		PSR+	207.0		256.0		355.0		291.0		81.0		2.0	3.0			T1w	3.0T
T1_MPR_NS_SAG_PRE OR POST	MPRAGE	2.2		0.003		15.0		PSR+	256.0		512.0		150.0		352.0		100.0		160.0	176.0	0.95		T1w	3.0T
T1 MPR SAG 0.9 MM_RECON TRANS	MPRAGE	2.05		0.002		9.0		PSR+	256.0		256.0		180.0	179.0	319.0		100.0		192.0		1.05		T1w	3.0T
T1_MPRAGE_SAG_P2_ISO_1.1	MPRAGE	1.68		0.0024		9.0		PSR+	224.0		224.0		180.0		167.0		100.0		160.0		0.9		T1w	3.0T
T1_MPRAGE_SAG_P2_ISO_0.9 POST	MPRAGE	1.9		0.00249		9.0		PSR+	256.0		256.0		180.0		255.0		100.0		192.0		0.9		T1w	3.0T
T1_AX_ FS _FC_POST_ABE	AXFS	0.75		0.02	0.075	90.0		LAS+	144.0		144.0		130.0		180.0		75.0				2.5		T1w	3.0T
